




Analysis Type:	PANTHER Overrepresentation Test (Released 20171205)
Annotation Version and Release Date:	GO Ontology database  Released 2018-04-04
Analyzed List:	upload_1 (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
GO biological process complete	Homo sapiens - REFLIST (21042)	upload_1 (319)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
regulation of elastin biosynthetic process (GO:0051543)	1	0	.02	-	 < 0.01	1.00E00	2.61E00
cytoplasmic microtubule organization (GO:0031122)	58	1	.88	+	1.14	5.89E-01	2.61E00
negative regulation of elastin biosynthetic process (GO:0051545)	1	0	.02	-	 < 0.01	1.00E00	2.61E00
regulation of cellular response to gamma radiation (GO:1905843)	1	0	.02	-	 < 0.01	1.00E00	2.61E00
positive regulation of cyclic nucleotide metabolic process (GO:0030801)	58	1	.88	+	1.14	5.89E-01	2.61E00
protein maturation (GO:0051604)	230	2	3.49	-	.57	5.90E-01	2.61E00
cellular stress response to acidic pH (GO:1990451)	1	0	.02	-	 < 0.01	1.00E00	2.61E00
negative regulation of cytokine secretion (GO:0050710)	58	1	.88	+	1.14	5.89E-01	2.61E00
positive regulation of catalytic activity in other organism involved in symbiotic interaction (GO:0043946)	1	0	.02	-	 < 0.01	1.00E00	2.61E00
mitochondrion-endoplasmic reticulum membrane tethering (GO:1990456)	1	0	.02	-	 < 0.01	1.00E00	2.61E00
regulation of postsynapse organization (GO:0099175)	58	1	.88	+	1.14	5.89E-01	2.61E00
regulation of peptidyl-tyrosine phosphorylation (GO:0050730)	236	2	3.58	-	.56	5.91E-01	2.61E00
positive regulation by host of symbiont catalytic activity (GO:0043947)	1	0	.02	-	 < 0.01	1.00E00	2.61E00
regulation of heparan sulfate binding (GO:1905853)	1	0	.02	-	 < 0.01	1.00E00	2.61E00
non-recombinational repair (GO:0000726)	58	1	.88	+	1.14	5.89E-01	2.61E00
positive regulation of heparan sulfate binding (GO:1905855)	1	0	.02	-	 < 0.01	1.00E00	2.61E00
tetrapyrrole metabolic process (GO:0033013)	58	1	.88	+	1.14	5.89E-01	2.61E00
regulation of heparan sulfate proteoglycan binding (GO:1905858)	1	0	.02	-	 < 0.01	1.00E00	2.61E00
acetaldehyde metabolic process (GO:0006117)	1	0	.02	-	 < 0.01	1.00E00	2.61E00
regulation of interleukin-1 beta production (GO:0032651)	58	1	.88	+	1.14	5.89E-01	2.61E00
positive regulation of heparan sulfate proteoglycan binding (GO:1905860)	1	0	.02	-	 < 0.01	1.00E00	2.61E00
negative regulation of biosynthetic process (GO:0009890)	1540	26	23.35	+	1.11	5.87E-01	2.61E00
invadopodium organization (GO:1905863)	1	0	.02	-	 < 0.01	1.00E00	2.61E00
glycogen metabolic process (GO:0005977)	58	1	.88	+	1.14	5.89E-01	2.61E00
regulation of 3'-UTR-mediated mRNA stabilization (GO:1905868)	1	0	.02	-	 < 0.01	1.00E00	2.61E00
response to ultrasound (GO:1990478)	1	0	.02	-	 < 0.01	1.00E00	2.61E00
glutathione metabolic process (GO:0006749)	58	1	.88	+	1.14	5.89E-01	2.61E00
histone H2B acetylation (GO:0043969)	1	0	.02	-	 < 0.01	1.00E00	2.61E00
regulation of double-strand break repair (GO:2000779)	58	1	.88	+	1.14	5.89E-01	2.61E00
positive regulation of 3'-UTR-mediated mRNA stabilization (GO:1905870)	1	0	.02	-	 < 0.01	1.00E00	2.62E00
posttranscriptional regulation of gene expression (GO:0010608)	551	6	8.35	-	.72	5.92E-01	2.62E00
regulation of protein localization to cell leading edge (GO:1905871)	1	0	.02	-	 < 0.01	1.00E00	2.62E00
positive regulation of response to wounding (GO:1903036)	58	1	.88	+	1.14	5.89E-01	2.62E00
lymphocyte mediated immunity (GO:0002449)	242	2	3.67	-	.55	5.92E-01	2.62E00
negative regulation of protein localization to cell leading edge (GO:1905872)	1	0	.02	-	 < 0.01	1.00E00	2.62E00
negative regulation of postsynaptic density organization (GO:1905875)	1	0	.02	-	 < 0.01	1.00E00	2.62E00
telencephalon cell migration (GO:0022029)	58	1	.88	+	1.14	5.89E-01	2.62E00
microtubule-dependent intracellular transport of viral material (GO:0075519)	1	0	.02	-	 < 0.01	1.00E00	2.62E00
regulation of epidermal cell differentiation (GO:0045604)	58	1	.88	+	1.14	5.89E-01	2.62E00
histone H3-K23 acetylation (GO:0043972)	1	0	.02	-	 < 0.01	1.00E00	2.62E00
histone H3-K4 acetylation (GO:0043973)	1	0	.02	-	 < 0.01	1.00E00	2.62E00
regulation of catalytic activity (GO:0050790)	2314	38	35.08	+	1.08	5.89E-01	2.62E00
cellular defense response (GO:0006968)	58	1	.88	+	1.14	5.89E-01	2.62E00
negative regulation of dopamine uptake involved in synaptic transmission (GO:0051585)	1	0	.02	-	 < 0.01	1.00E00	2.62E00
peptidyl-histidine phosphorylation (GO:0018106)	1	0	.02	-	 < 0.01	1.00E00	2.62E00
microtubule-dependent intracellular transport of viral material towards nucleus (GO:0075521)	1	0	.02	-	 < 0.01	1.00E00	2.62E00
guanine catabolic process (GO:0006147)	1	0	.02	-	 < 0.01	1.00E00	2.62E00
multi-organism process (GO:0051704)	2402	33	36.41	-	.91	5.95E-01	2.62E00
regulation of Ras protein signal transduction (GO:0046578)	250	2	3.79	-	.53	5.95E-01	2.62E00
organic substance biosynthetic process (GO:1901576)	4885	78	74.06	+	1.05	5.94E-01	2.62E00
inosine catabolic process (GO:0006148)	1	0	.02	-	 < 0.01	1.00E00	2.62E00
negative regulation of response to cytokine stimulus (GO:0060761)	59	1	.89	+	1.12	5.95E-01	2.62E00
regulation of cellular response to very-low-density lipoprotein particle stimulus (GO:1905890)	1	0	.02	-	 < 0.01	1.00E00	2.62E00
histone deacetylation (GO:0016575)	59	1	.89	+	1.12	5.95E-01	2.62E00
regulation of cellular response to thapsigargin (GO:1905891)	1	0	.02	-	 < 0.01	1.00E00	2.62E00
site-specific DNA replication termination (GO:0071170)	1	0	.02	-	 < 0.01	1.00E00	2.62E00
glucan metabolic process (GO:0044042)	59	1	.89	+	1.12	5.95E-01	2.62E00
negative regulation of cellular response to thapsigargin (GO:1905892)	1	0	.02	-	 < 0.01	1.00E00	2.62E00
site-specific DNA replication termination at RTS1 barrier (GO:0071171)	1	0	.02	-	 < 0.01	1.00E00	2.62E00
postsynapse organization (GO:0099173)	59	1	.89	+	1.12	5.95E-01	2.62E00
regulation of cellular response to tunicamycin (GO:1905894)	1	0	.02	-	 < 0.01	1.00E00	2.62E00
cellular glucan metabolic process (GO:0006073)	59	1	.89	+	1.12	5.95E-01	2.62E00
negative regulation of cellular response to tunicamycin (GO:1905895)	1	0	.02	-	 < 0.01	1.00E00	2.62E00
protein adenylylation (GO:0018117)	1	0	.02	-	 < 0.01	1.00E00	2.62E00
peptidyl-proline modification (GO:0018208)	59	1	.89	+	1.12	5.95E-01	2.62E00
regulation of smooth muscle tissue development (GO:1905899)	1	0	.02	-	 < 0.01	1.00E00	2.62E00
histone H2A-S1 phosphorylation (GO:0043990)	1	0	.02	-	 < 0.01	1.00E00	2.62E00
T cell activation involved in immune response (GO:0002286)	59	1	.89	+	1.12	5.95E-01	2.62E00
deoxyadenosine catabolic process (GO:0006157)	1	0	.02	-	 < 0.01	1.00E00	2.62E00
biosynthetic process (GO:0009058)	4944	79	74.95	+	1.05	5.95E-01	2.62E00
iron ion transport (GO:0006826)	59	1	.89	+	1.12	5.95E-01	2.63E00
adenosine salvage (GO:0006169)	1	0	.02	-	 < 0.01	1.00E00	2.63E00
Ras protein signal transduction (GO:0007265)	253	2	3.84	-	.52	5.97E-01	2.63E00
dADP biosynthetic process (GO:0006173)	1	0	.02	-	 < 0.01	1.00E00	2.63E00
dADP phosphorylation (GO:0006174)	1	0	.02	-	 < 0.01	1.00E00	2.63E00
dATP biosynthetic process (GO:0006175)	1	0	.02	-	 < 0.01	1.00E00	2.63E00
post-embryonic body morphogenesis (GO:0040032)	1	0	.02	-	 < 0.01	1.00E00	2.63E00
negative regulation of protein kinase activity (GO:0006469)	254	2	3.85	-	.52	5.97E-01	2.63E00
dGDP biosynthetic process (GO:0006185)	1	0	.02	-	 < 0.01	1.00E00	2.63E00
dGDP phosphorylation (GO:0006186)	1	0	.02	-	 < 0.01	1.00E00	2.63E00
regulation of mammary stem cell proliferation (GO:2000101)	1	0	.02	-	 < 0.01	1.00E00	2.63E00
positive regulation of mammary stem cell proliferation (GO:2000103)	1	0	.02	-	 < 0.01	1.00E00	2.63E00
thermosensory behavior (GO:0040040)	1	0	.02	-	 < 0.01	1.00E00	2.63E00
ITP catabolic process (GO:0006193)	1	0	.02	-	 < 0.01	1.00E00	2.63E00
peptidyl-pyrromethane cofactor linkage (GO:0018160)	1	0	.02	-	 < 0.01	1.00E00	2.63E00
C-terminal protein-tyrosinylation (GO:0018166)	1	0	.02	-	 < 0.01	1.00E00	2.63E00
dense core granule cytoskeletal transport (GO:0099519)	1	0	.02	-	 < 0.01	1.00E00	2.63E00
negative regulation of sodium-dependent phosphate transport (GO:2000119)	1	0	.02	-	 < 0.01	1.00E00	2.63E00
regulation of leukocyte differentiation (GO:1902105)	256	2	3.88	-	.52	5.99E-01	2.63E00
fructose import (GO:0032445)	1	0	.02	-	 < 0.01	1.00E00	2.63E00
suppression of host defenses (GO:0044414)	1	0	.02	-	 < 0.01	1.00E00	2.63E00
macromolecule glycosylation (GO:0043413)	257	2	3.90	-	.51	5.99E-01	2.63E00
modification by symbiont of host cell membrane (GO:0052025)	1	0	.02	-	 < 0.01	1.00E00	2.63E00
modulation by symbiont of host transcription (GO:0052026)	1	0	.02	-	 < 0.01	1.00E00	2.63E00
protein glycosylation (GO:0006486)	257	2	3.90	-	.51	5.99E-01	2.63E00
postsynapse to nucleus signaling pathway (GO:0099527)	1	0	.02	-	 < 0.01	1.00E00	2.63E00
protein nucleotidylation (GO:0018175)	1	0	.02	-	 < 0.01	1.00E00	2.63E00
negative regulation by symbiont of host signal transduction pathway (GO:0052029)	1	0	.02	-	 < 0.01	1.00E00	2.63E00
positive regulation of sodium-dependent phosphate transport (GO:2000120)	1	0	.02	-	 < 0.01	1.00E00	2.63E00
slow endocytic recycling (GO:0032458)	1	0	.02	-	 < 0.01	1.00E00	2.64E00
negative regulation by symbiont of host defense response (GO:0052037)	1	0	.02	-	 < 0.01	1.00E00	2.64E00
Golgi calcium ion homeostasis (GO:0032468)	1	0	.02	-	 < 0.01	1.00E00	2.64E00
modification by symbiont of host cellular component (GO:0052043)	1	0	.02	-	 < 0.01	1.00E00	2.64E00
enzyme active site formation via cysteine modification to L-cysteine persulfide (GO:0018192)	1	0	.02	-	 < 0.01	1.00E00	2.64E00
peptidyl-alanine modification (GO:0018194)	1	0	.02	-	 < 0.01	1.00E00	2.64E00
otolith formation (GO:0032475)	1	0	.02	-	 < 0.01	1.00E00	2.64E00
signal transduction (GO:0007165)	5193	74	78.73	-	.94	6.01E-01	2.64E00
monosaccharide catabolic process (GO:0046365)	60	1	.91	+	1.10	6.01E-01	2.64E00
negative regulation by symbiont of host catalytic activity (GO:0052053)	1	0	.02	-	 < 0.01	1.00E00	2.64E00
trans-synaptic signaling by soluble gas, modulating synaptic transmission (GO:0099554)	1	0	.02	-	 < 0.01	1.00E00	2.64E00
heart looping (GO:0001947)	60	1	.91	+	1.10	6.01E-01	2.64E00
trans-synaptic signaling by nitric oxide, modulating synaptic transmission (GO:0099555)	1	0	.02	-	 < 0.01	1.00E00	2.64E00
regulation of cellular response to growth factor stimulus (GO:0090287)	257	5	3.90	+	1.28	6.01E-01	2.64E00
trans-synaptic signaling by trans-synaptic complex, modulating synaptic transmission (GO:0099557)	1	0	.02	-	 < 0.01	1.00E00	2.64E00
age-dependent response to oxidative stress (GO:0001306)	1	0	.02	-	 < 0.01	1.00E00	2.64E00
entry of symbiont into host cell by promotion of host phagocytosis (GO:0052066)	1	0	.02	-	 < 0.01	1.00E00	2.64E00
age-dependent response to reactive oxygen species (GO:0001315)	1	0	.02	-	 < 0.01	1.00E00	2.64E00
regulation of planar cell polarity pathway involved in neural tube closure (GO:2000167)	1	0	.02	-	 < 0.01	1.00E00	2.64E00
detection of muramyl dipeptide (GO:0032498)	1	0	.02	-	 < 0.01	1.00E00	2.64E00
nucleate erythrocyte development (GO:0048823)	1	0	.02	-	 < 0.01	1.00E00	2.64E00
regulation of pro-T cell differentiation (GO:2000174)	1	0	.02	-	 < 0.01	1.00E00	2.64E00
regulation of actin filament organization (GO:0110053)	259	5	3.93	+	1.27	6.02E-01	2.64E00
positive regulation of pro-T cell differentiation (GO:2000176)	1	0	.02	-	 < 0.01	1.00E00	2.64E00
sodium-dependent organic cation transport (GO:0070715)	1	0	.02	-	 < 0.01	1.00E00	2.64E00
positive regulation of progesterone biosynthetic process (GO:2000184)	1	0	.02	-	 < 0.01	1.00E00	2.64E00
regulation of phosphate transmembrane transport (GO:2000185)	1	0	.02	-	 < 0.01	1.00E00	2.64E00
positive regulation of phosphate transmembrane transport (GO:2000187)	1	0	.02	-	 < 0.01	1.00E00	2.65E00
negative regulation of neural crest formation (GO:0090301)	1	0	.02	-	 < 0.01	1.00E00	2.65E00
interspecies quorum sensing (GO:0052097)	1	0	.02	-	 < 0.01	1.00E00	2.65E00
positive regulation of ribonucleoprotein complex localization (GO:2000199)	1	0	.02	-	 < 0.01	1.00E00	2.65E00
modulation of blood pressure in other organism (GO:0044495)	1	0	.02	-	 < 0.01	1.00E00	2.65E00
positive regulation of blood pressure in other organism (GO:0044497)	1	0	.02	-	 < 0.01	1.00E00	2.65E00
adenohypophysis morphogenesis (GO:0048855)	1	0	.02	-	 < 0.01	1.00E00	2.65E00
regulation of chylomicron remnant clearance (GO:0090320)	1	0	.02	-	 < 0.01	1.00E00	2.65E00
positive regulation of chylomicron remnant clearance (GO:0090321)	1	0	.02	-	 < 0.01	1.00E00	2.65E00
positive regulation of locomotion involved in locomotory behavior (GO:0090326)	1	0	.02	-	 < 0.01	1.00E00	2.65E00
homeostasis of number of cells in a free-living population (GO:0048874)	1	0	.02	-	 < 0.01	1.00E00	2.65E00
positive regulation of secretion of lysosomal enzymes (GO:0090340)	1	0	.02	-	 < 0.01	1.00E00	2.65E00
negative regulation of secretion of lysosomal enzymes (GO:0090341)	1	0	.02	-	 < 0.01	1.00E00	2.65E00
lateral line development (GO:0048882)	1	0	.02	-	 < 0.01	1.00E00	2.65E00
cellular organohalogen metabolic process (GO:0090345)	1	0	.02	-	 < 0.01	1.00E00	2.65E00
cellular organofluorine metabolic process (GO:0090346)	1	0	.02	-	 < 0.01	1.00E00	2.65E00
neuromast development (GO:0048884)	1	0	.02	-	 < 0.01	1.00E00	2.65E00
regulation of adenylate cyclase-inhibiting adrenergic receptor signaling pathway involved in heart process (GO:0140193)	1	0	.02	-	 < 0.01	1.00E00	2.65E00
regulation of cellular organohalogen metabolic process (GO:0090347)	1	0	.02	-	 < 0.01	1.00E00	2.65E00
negative regulation of adenylate cyclase-inhibiting adrenergic receptor signaling pathway involved in heart process (GO:0140194)	1	0	.02	-	 < 0.01	1.00E00	2.65E00
regulation of cellular organofluorine metabolic process (GO:0090348)	1	0	.02	-	 < 0.01	1.00E00	2.65E00
neuromast hair cell differentiation (GO:0048886)	1	0	.02	-	 < 0.01	1.00E00	2.65E00
negative regulation of cellular organohalogen metabolic process (GO:0090349)	1	0	.02	-	 < 0.01	1.00E00	2.66E00
positive regulation of adenylate cyclase-activating adrenergic receptor signaling pathway involved in heart process (GO:0140196)	1	0	.02	-	 < 0.01	1.00E00	2.66E00
negative regulation of cellular organofluorine metabolic process (GO:0090350)	1	0	.02	-	 < 0.01	1.00E00	2.66E00
lateral line nerve development (GO:0048892)	1	0	.02	-	 < 0.01	1.00E00	2.66E00
efferent axon development in a lateral line nerve (GO:0048894)	1	0	.02	-	 < 0.01	1.00E00	2.66E00
regulation of tryptophan metabolic process (GO:0090357)	1	0	.02	-	 < 0.01	1.00E00	2.66E00
phosphatidylserine exposure on apoptotic cell surface (GO:0070782)	1	0	.02	-	 < 0.01	1.00E00	2.66E00
forebrain cell migration (GO:0021885)	61	1	.92	+	1.08	6.07E-01	2.66E00
positive regulation of mRNA modification (GO:0090366)	1	0	.02	-	 < 0.01	1.00E00	2.66E00
regulation of smooth muscle cell migration (GO:0014910)	61	1	.92	+	1.08	6.07E-01	2.66E00
negative regulation of mRNA modification (GO:0090367)	1	0	.02	-	 < 0.01	1.00E00	2.66E00
phagosome-lysosome fusion involved in apoptotic cell clearance (GO:0090389)	1	0	.02	-	 < 0.01	1.00E00	2.66E00
regulation of tumor necrosis factor-mediated signaling pathway (GO:0010803)	61	1	.92	+	1.08	6.07E-01	2.66E00
response to raffinose (GO:1901545)	1	0	.02	-	 < 0.01	1.00E00	2.66E00
positive regulation of MAP kinase activity (GO:0043406)	266	5	4.03	+	1.24	6.08E-01	2.66E00
negative regulation of smooth muscle tissue development (GO:1905900)	1	0	.02	-	 < 0.01	1.00E00	2.66E00
apoptotic mitochondrial changes (GO:0008637)	61	1	.92	+	1.08	6.07E-01	2.66E00
positive regulation of smooth muscle tissue development (GO:1905901)	1	0	.02	-	 < 0.01	1.00E00	2.66E00
positive regulation of macromolecule biosynthetic process (GO:0010557)	1711	23	25.94	-	.89	6.07E-01	2.66E00
carbohydrate derivative transport (GO:1901264)	61	1	.92	+	1.08	6.07E-01	2.66E00
positive regulation of mesoderm formation (GO:1905904)	1	0	.02	-	 < 0.01	1.00E00	2.66E00
nucleocytoplasmic transport (GO:0006913)	265	5	4.02	+	1.24	6.07E-01	2.66E00
serotonin uptake (GO:0051610)	1	0	.02	-	 < 0.01	1.00E00	2.66E00
protein deacetylation (GO:0006476)	61	1	.92	+	1.08	6.07E-01	2.66E00
negative regulation of endothelial cell development (GO:1901551)	1	0	.02	-	 < 0.01	1.00E00	2.66E00
histamine uptake (GO:0051615)	1	0	.02	-	 < 0.01	1.00E00	2.66E00
response to tumor necrosis factor (GO:0034612)	267	5	4.05	+	1.24	6.09E-01	2.66E00
response to fenofibrate (GO:1901557)	1	0	.02	-	 < 0.01	1.00E00	2.66E00
regulation of calcium ion export across plasma membrane (GO:1905912)	1	0	.02	-	 < 0.01	1.00E00	2.66E00
negative regulation of calcium ion export across plasma membrane (GO:1905913)	1	0	.02	-	 < 0.01	1.00E00	2.66E00
regulation of CoA-transferase activity (GO:1905918)	1	0	.02	-	 < 0.01	1.00E00	2.66E00
regulation of norepinephrine uptake (GO:0051621)	1	0	.02	-	 < 0.01	1.00E00	2.66E00
response to benomyl (GO:1901561)	1	0	.02	-	 < 0.01	1.00E00	2.67E00
keratinocyte differentiation (GO:0030216)	268	5	4.06	+	1.23	6.09E-01	2.67E00
nuclear transport (GO:0051169)	269	5	4.08	+	1.23	6.10E-01	2.67E00
negative regulation of norepinephrine uptake (GO:0051622)	1	0	.02	-	 < 0.01	1.00E00	2.67E00
negative regulation of phosphorus metabolic process (GO:0010563)	594	7	9.01	-	.78	6.10E-01	2.67E00
positive regulation of CoA-transferase activity (GO:1905920)	1	0	.02	-	 < 0.01	1.00E00	2.67E00
localization (GO:0051179)	5600	89	84.90	+	1.05	6.10E-01	2.67E00
primary metabolic process (GO:0044238)	9266	145	140.47	+	1.03	6.10E-01	2.67E00
regulation of invadopodium disassembly (GO:1905927)	1	0	.02	-	 < 0.01	1.00E00	2.67E00
negative regulation of phosphate metabolic process (GO:0045936)	593	7	8.99	-	.78	6.10E-01	2.67E00
establishment of protein localization to juxtaparanode region of axon (GO:0071206)	1	0	.02	-	 < 0.01	1.00E00	2.67E00
positive regulation of invadopodium disassembly (GO:1905929)	1	0	.02	-	 < 0.01	1.00E00	2.67E00
barbed-end actin filament uncapping (GO:0051638)	1	0	.02	-	 < 0.01	1.00E00	2.67E00
fructose import across plasma membrane (GO:1990539)	1	0	.02	-	 < 0.01	1.00E00	2.67E00
positive regulation of germ cell proliferation (GO:1905938)	1	0	.02	-	 < 0.01	1.00E00	2.67E00
cellular response to external biotic stimulus (GO:0071217)	1	0	.02	-	 < 0.01	1.00E00	2.67E00
regulation of telomeric RNA transcription from RNA pol II promoter (GO:1901580)	1	0	.02	-	 < 0.01	1.00E00	2.67E00
negative regulation of telomeric RNA transcription from RNA pol II promoter (GO:1901581)	1	0	.02	-	 < 0.01	1.00E00	2.67E00
positive regulation of telomeric RNA transcription from RNA pol II promoter (GO:1901582)	1	0	.02	-	 < 0.01	1.00E00	2.67E00
mitochondrial tricarboxylic acid transmembrane transport (GO:1990546)	1	0	.02	-	 < 0.01	1.00E00	2.67E00
regulation of acid-sensing ion channel activity (GO:1901585)	1	0	.02	-	 < 0.01	1.00E00	2.67E00
regulation of formation of growth cone in injured axon (GO:1905942)	1	0	.02	-	 < 0.01	1.00E00	2.67E00
negative regulation of formation of growth cone in injured axon (GO:1905943)	1	0	.02	-	 < 0.01	1.00E00	2.67E00
response to capsazepine (GO:1901594)	1	0	.02	-	 < 0.01	1.00E00	2.67E00
positive regulation of tyrosine phosphorylation of STAT protein (GO:0042531)	62	1	.94	+	1.06	6.13E-01	2.67E00
regulation of cellular response to alcohol (GO:1905957)	1	0	.02	-	 < 0.01	1.00E00	2.67E00
positive regulation of cellular response to alcohol (GO:1905959)	1	0	.02	-	 < 0.01	1.00E00	2.67E00
negative regulation of ERK1 and ERK2 cascade (GO:0070373)	62	1	.94	+	1.06	6.13E-01	2.67E00
thymidine catabolic process (GO:0006214)	1	0	.02	-	 < 0.01	1.00E00	2.67E00
regulation of chromosome separation (GO:1905818)	62	1	.94	+	1.06	6.13E-01	2.67E00
uridine catabolic process (GO:0006218)	1	0	.02	-	 < 0.01	1.00E00	2.67E00
actomyosin contractile ring contraction (GO:0000916)	1	0	.02	-	 < 0.01	1.00E00	2.68E00
regulation of protein modification process (GO:0031399)	1781	24	27.00	-	.89	6.13E-01	2.68E00
regulation of cellular amino acid metabolic process (GO:0006521)	62	1	.94	+	1.06	6.13E-01	2.68E00
division septum assembly (GO:0000917)	1	0	.02	-	 < 0.01	1.00E00	2.68E00
cellular response to carbon monoxide (GO:0071245)	1	0	.02	-	 < 0.01	1.00E00	2.68E00
regulation of glial cell differentiation (GO:0045685)	62	1	.94	+	1.06	6.13E-01	2.68E00
cellular response to chromate (GO:0071247)	1	0	.02	-	 < 0.01	1.00E00	2.68E00
